name:keypoints_y:keypoints_x
0432_c5s1_105323_05.jpg: [48, 57, 57, 68, 78, 56, -1, -1, 80, 93, 109, 79, -1, -1, 46, 45, 47, -1]: [32, 31, 22, 17, 18, 40, -1, -1, 27, 31, 35, 39, -1, -1, 30, 34, 26, -1]
0647_c1s4_004056_01.jpg: [9, 25, 25, 47, 62, 24, 44, 63, 62, 86, 109, 63, 87, 108, -1, 6, -1, 8]: [18, 32, 24, 24, 18, 40, 41, 38, 26, 31, 43, 34, 24, 47, -1, 21, -1, 31]
0430_c4s5_024854_01.jpg: [11, 21, 21, 43, 38, 22, -1, -1, 63, 89, 115, 62, 91, 119, 7, -1, 6, -1]: [49, 36, 25, 20, 46, 46, -1, -1, 25, 13, 0, 43, 48, 62, 47, -1, 38, -1]
0606_c4s3_031304_02.jpg: [15, 24, 27, -1, -1, 22, 36, -1, 64, 92, -1, 64, 92, 113, -1, 11, -1, 9]: [10, 31, 24, -1, -1, 38, 60, -1, 50, 50, -1, 42, 30, 22, -1, 11, -1, 22]
1219_c2s3_086452_10.jpg: [31, 40, 41, 54, 66, 40, 53, 64, 68, 88, 109, 68, 89, 103, 29, 29, 29, -1]: [36, 32, 22, 16, 13, 43, 47, 50, 26, 31, 36, 40, 36, 29, 34, 37, 28, -1]
1391_c3s3_047253_02.jpg: [16, 23, 23, -1, -1, 22, 41, 39, 63, 91, 112, 63, 89, 114, -1, 13, -1, 10]: [6, 28, 22, -1, -1, 34, 39, 12, 39, 38, 51, 46, 29, 51, -1, 7, -1, 16]
1320_c6s3_076767_01.jpg: [10, 24, 24, 31, 25, 24, 43, 61, 61, 89, 112, 63, 95, 121, 7, 7, 10, 9]: [30, 30, 15, 9, 27, 46, 55, 59, 20, 12, 1, 42, 36, 25, 27, 33, 20, 38]
0097_c2s1_015726_03.jpg: [34, 48, 47, 62, 60, 49, -1, -1, 80, 106, 122, 79, 106, 123, 31, 32, 32, -1]: [49, 36, 24, 16, 38, 48, -1, -1, 27, 45, 21, 42, 46, 24, 46, 51, 37, -1]
1326_c3s3_036278_02.jpg: [-1, 24, 22, 43, 63, 24, 42, 59, 57, 84, 112, 58, 82, 102, -1, -1, 8, 7]: [-1, 29, 45, 54, 60, 15, 6, 4, 41, 43, 41, 22, 23, 19, -1, -1, 38, 22]
0148_c5s2_045005_04.jpg: [-1, 25, 25, -1, -1, 26, 41, 44, 59, 86, 112, 59, 86, 112, -1, -1, -1, -1]: [-1, 29, 36, -1, -1, 24, 24, 9, 33, 28, 29, 23, 23, 29, -1, -1, -1, -1]
